Train/Value,Time/Buffer,Train/Entropy_Loss,Train/Return,Train/Action_max,Train/LogProb,Train/Grad_norm_actor,Train/Action_magnitude_L1,Train/control_penalty,Train/Ratio,Train/Action_magnitude,Train/Policy_loss,Time/B_Format_Time,Time/B_Original_Format_Time,Train/Entropy_loss,Train/Entropy,Train/V,Train/Action_std,Time/Critic_Time,Time/Actor_Time,Itr,Train/policy_loss,Train/recon_loss,Train/Action_abs_mean,Train/Loss,Train/PolicyClip,train/batch_reward
1.7445183,0.007025241851806641,,,,,,,,,,,,,,,,,,,,,,,,,
1.7419792,0.0037310123443603516,0.0006077471971511841,1.570766,0.20633335,1.2191447,0.0,0.53290266,0.4057302,0.99998933,0.4077,0.17121509,0.07174921035766602,0.07256817817687988,0.0006077471971511841,-0.6077472,1.7419792,0.13544491,0.0,0.06859898567199707,0,0.17121509,0.0,0.24001482,0.17588013,0.0,0.02525
1.3445488,0.002471923828125,0.0005894245505332947,1.0902256,0.17647904,1.179399,0.0,0.47101212,0.36709443,0.99999654,0.36319098,0.25433528,0.0798039436340332,0.07203793525695801,0.0005894245505332947,-0.58942455,1.3445488,0.13847685,9.5367431640625e-07,0.06844305992126465,1,0.25433528,0.0,0.20596173,0.25859565,0.0,0.006
2.1457486,0.004545927047729492,0.0005653268098831177,2.1558578,0.18863359,1.1416297,0.0,0.5490726,0.42971918,1.0000012,0.4311864,-0.0101044625,0.1253199577331543,0.09214615821838379,0.0005653268098831177,-0.5653268,2.1457486,0.14212564,1.1920928955078125e-06,0.08239412307739258,2,-0.0101044625,0.0,0.24457064,-0.005241944,0.0,0.04775
1.9875741,0.003657102584838867,0.0005532390475273132,1.9986631,0.18951175,1.0949492,0.0,0.5606311,0.43981794,0.9999841,0.44034734,-0.011094423,0.11146116256713867,0.06920504570007324,0.0005532390475273132,-0.55323905,1.9875741,0.1436085,0.0,0.06353998184204102,3,-0.011094423,0.0,0.2550676,-0.0061430046,0.0,0.0495
1.7380224,0.0033159255981445312,0.000548140048980713,1.6536648,0.19372201,1.0894531,0.0,0.56466466,0.4401345,0.99999815,0.44580954,0.08435513,0.08099007606506348,0.07123398780822754,0.000548140048980713,-0.54814005,1.7380224,0.14340277,0.0,0.0673069953918457,4,0.08435513,0.0,0.2539142,0.08930461,0.0,0.0335
2.0188572,0.003255128860473633,0.0005368751883506775,1.8426714,0.23368114,1.080906,0.0,0.5635071,0.44947162,0.9999833,0.44682088,0.17617838,0.08107900619506836,0.07579898834228516,0.0005368751883506775,-0.5368752,2.0188572,0.14582056,0.0,0.09665036201477051,5,0.17617838,0.0,0.25505146,0.18120997,0.0,0.027
1.930017,0.004209756851196289,0.0005691101551055909,1.80487,0.21229811,1.1512812,0.0,0.5188584,0.41008717,0.9999834,0.4068356,0.1251523,0.09702706336975098,0.15093207359313965,0.0005691101551055909,-0.56911016,1.930017,0.14131615,0.0,0.09505414962768555,6,0.1251523,0.0,0.23369306,0.12982228,0.0,0.03325
1.7857004,0.004556894302368164,0.0005530344247817994,1.6432931,0.21667019,1.0723562,0.0,0.5188768,0.40803927,1.000009,0.40425506,0.14241342,0.08702492713928223,0.09236812591552734,0.0005530344247817994,-0.5530344,1.7857004,0.14441031,0.0,0.09917020797729492,7,0.14241342,0.0,0.23092034,0.14704686,0.0,0.034
2.1218777,0.005028724670410156,0.000575273871421814,1.9637241,0.22730757,1.1489849,0.0,0.5435286,0.41743496,0.9999827,0.4195266,0.15815243,0.0962071418762207,0.11152887344360352,0.000575273871421814,-0.5752739,2.1218777,0.14180014,0.0,0.10691189765930176,8,0.15815243,0.0,0.2421001,0.16290206,0.0,0.029
1.8240727,0.007766008377075195,0.000585518479347229,1.6532006,0.25632474,1.1398796,0.0,0.55793244,0.42744252,1.000016,0.42762986,0.1708844,0.10245609283447266,0.10509181022644043,0.000585518479347229,-0.5855185,1.8240727,0.13994429,0.0,0.06544613838195801,9,0.1708844,0.0,0.2544326,0.17574434,0.0,0.029
1.5410703,0.0028579235076904297,0.0005613681674003601,1.389753,0.24664612,1.1303025,0.0,0.54507136,0.41560385,0.99999714,0.4160156,0.15131849,0.09013700485229492,0.08919334411621094,0.0005613681674003601,-0.56136817,1.5410703,0.1435967,0.0,0.06694889068603516,10,0.15131849,0.0,0.24485534,0.1560359,0.0,0.02
1.7119261,0.0033211708068847656,0.0005566294193267823,1.5095096,0.20455553,1.1335243,0.0,0.5506501,0.4230942,0.9999735,0.42240143,0.20240715,0.10679984092712402,0.08456230163574219,0.0005566294193267823,-0.5566294,1.7119261,0.14296523,0.0,0.06810879707336426,11,0.20240715,0.0,0.2501869,0.20719473,0.0,0.016
2.4508793,0.004530906677246094,0.0005737858414649964,2.1114159,0.14363332,1.1631857,0.0,0.5472704,0.42336884,1.0000092,0.42710063,0.33946377,0.13864922523498535,0.16795897483825684,0.0005737858414649964,-0.57378584,2.4508793,0.14004941,0.0,0.1251819133758545,12,0.33946377,0.0,0.2428759,0.34427124,0.0,0.01925
3.6679692,0.004157066345214844,0.0006056698560714722,3.1183598,0.10932543,1.2050859,0.0,0.5481035,0.4317276,0.99999046,0.43186462,0.54960114,0.07154297828674316,0.07829499244689941,0.0006056698560714722,-0.60566986,3.6679692,0.13523103,0.0,0.06467890739440918,13,0.54960114,0.0,0.24468513,0.55452406,0.0,0.0205
3.966313,0.002997159957885742,0.0005811892747879028,3.3030686,0.12694979,1.1354712,0.0,0.5440605,0.42496988,1.0000056,0.42926222,0.6632607,0.07097601890563965,0.10518383979797363,0.0005811892747879028,-0.5811893,3.966313,0.13944115,0.0,0.0656881332397461,14,0.6632607,0.0,0.23722783,0.6680916,0.0,0.0175
2.647381,0.005824089050292969,0.0005775002837181091,2.310647,0.21622111,1.1605668,0.0,0.5416494,0.41679323,0.99999225,0.42049265,0.33673438,0.07730793952941895,0.07097005844116211,0.0005775002837181091,-0.5775003,2.647381,0.14125848,0.0,0.09330487251281738,15,0.33673438,0.0,0.24140944,0.34147984,0.0,0.0385
1.6693417,0.00979304313659668,0.0005979375839233399,1.526804,0.23288342,1.2238672,0.0,0.5078031,0.39476907,1.0,0.3920356,0.14252998,0.1301867961883545,0.08260297775268555,0.0005979375839233399,-0.5979376,1.6693417,0.13862665,9.5367431640625e-07,0.0973958969116211,16,0.14252998,0.0,0.23043926,0.14707561,0.0,0.02725
1.7078768,0.010707855224609375,0.0006316774487495423,1.618365,0.22452752,1.2701402,0.0,0.5178507,0.39873052,0.99999964,0.3991732,0.08952153,0.07466602325439453,0.08162212371826172,0.0006316774487495423,-0.63167745,1.7078768,0.13410771,0.0,0.080657958984375,17,0.08952153,0.0,0.23483042,0.09414051,0.0,0.03725
1.8918878,0.004561901092529297,0.0006369221210479737,1.7730122,0.19996841,1.2763163,0.0,0.5095696,0.38913757,1.000004,0.3913477,0.11886605,0.07437777519226074,0.07337069511413574,0.0006369221210479737,-0.6369221,1.8918878,0.13291667,0.0,0.0717477798461914,18,0.11886605,0.0,0.2298453,0.12339435,0.0,0.03575
1.5621476,0.0038878917694091797,0.0006069449186325073,1.3826172,0.19393976,1.2179326,0.0,0.5003471,0.3804319,0.99999994,0.3847792,0.17953771,0.07066679000854492,0.07457900047302246,0.0006069449186325073,-0.6069449,1.5621476,0.1365311,0.0,0.06924176216125488,19,0.17953771,0.0,0.21863529,0.18394898,0.0,0.022
1.4578682,0.003319978713989258,0.0005769530534744263,1.2970419,0.20462939,1.1542561,0.0,0.5032836,0.39290565,1.0000074,0.39048404,0.1608323,0.08666205406188965,0.1145327091217041,0.0005769530534744263,-0.57695305,1.4578682,0.14081597,9.5367431640625e-07,0.07102012634277344,20,0.1608323,0.0,0.22315134,0.16533831,0.0,0.02175
1.3752126,0.00341796875,0.0005809240937232972,1.255925,0.23084773,1.124587,0.0,0.5319702,0.40635967,0.99999076,0.4109942,0.11929069,0.0704660415649414,0.07156515121459961,0.0005809240937232972,-0.5809241,1.3752126,0.13994285,0.0,0.0639810562133789,21,0.11929069,0.0,0.23574093,0.12393521,0.0,0.02125
1.5201685,0.0036079883575439453,0.0005786347985267639,1.4361748,0.22478512,1.1374642,0.0,0.5389394,0.41849357,1.0000062,0.41748786,0.08398752,0.07113289833068848,0.07012581825256348,0.0005786347985267639,-0.5786348,1.5201685,0.14044242,0.0,0.06569290161132812,22,0.08398752,0.0,0.24226648,0.08875109,0.0,0.029
1.7919859,0.003854036331176758,0.0005686125755310059,1.7358723,0.20613134,1.1162002,0.0,0.5721586,0.43960488,1.0000141,0.44245464,0.056114234,0.07476401329040527,0.07291793823242188,0.0005686125755310059,-0.5686126,1.7919859,0.14123502,0.0,0.06974506378173828,23,0.056114234,0.0,0.25827026,0.061078895,0.0,0.0405
1.8919512,0.005068063735961914,0.0005561671257019043,1.814323,0.2005638,1.0908827,0.0,0.53568685,0.41572392,0.99999547,0.41865778,0.0776328,0.07459878921508789,0.07830500602722168,0.0005561671257019043,-0.5561671,1.8919512,0.14339639,0.0,0.07227110862731934,24,0.0776328,0.0,0.23667006,0.0823462,0.0,0.03675
1.5937151,0.00368499755859375,0.0006032106280326843,1.5366,0.17629012,1.1855865,0.0,0.5255016,0.41197005,0.999984,0.4113336,0.05711257,0.08823895454406738,0.09137988090515137,0.0006032106280326843,-0.6032106,1.5937151,0.13685381,1.1920928955078125e-06,0.08813118934631348,25,0.05711257,0.0,0.23568055,0.061835483,0.0,0.0325
